cd,cycle,district_lines,dem_twoway
CA-16,2012,2012,0.5979591836734695
CA-16,2008,2012,0.5876288659793815
CA-17,2012,2012,0.7381930184804928
CA-17,2008,2012,0.711340206185567
CA-18,2012,2012,0.7023686920700309
CA-18,2008,2012,0.7216494845360825
CA-19,2012,2012,0.7287615148413511
CA-19,2008,2012,0.7010309278350515
CA-20,2012,2012,0.7301750772399588
CA-20,2008,2012,0.7319587628865979
CA-21,2012,2012,0.5565749235474007
CA-21,2008,2012,0.5306122448979592
CA-22,2012,2012,0.42362525458248473
CA-22,2008,2012,0.4329896907216495
CA-23,2012,2012,0.36987704918032793
CA-23,2008,2012,0.3711340206185567
CA-24,2012,2012,0.5565843621399177
CA-24,2008,2012,0.5773195876288659
CA-25,2012,2012,0.4902564102564102
CA-25,2008,2012,0.5051546391752577
CA-26,2012,2012,0.5527123848515865
CA-26,2008,2012,0.5773195876288659
CA-27,2012,2012,0.6413934426229508
CA-27,2008,2012,0.6354166666666666
CA-28,2012,2012,0.7262396694214875
CA-28,2008,2012,0.7291666666666666
CA-29,2012,2012,0.7897435897435897
CA-29,2008,2012,0.7628865979381443
CA-30,2012,2012,0.6704312114989732
CA-30,2008,2012,0.6804123711340206
CA-31,2012,2012,0.5848670756646216
CA-31,2008,2012,0.5773195876288659
CA-32,2012,2012,0.6673490276356192
CA-32,2008,2012,0.6391752577319587
CA-33,2012,2012,0.62217659137577
CA-33,2008,2012,0.6597938144329897
CA-34,2012,2012,0.8547888774459321
CA-34,2008,2012,0.8020833333333334
CA-35,2012,2012,0.6877551020408164
CA-35,2008,2012,0.6666666666666666
CA-36,2012,2012,0.5162932790224033
CA-36,2008,2012,0.5154639175257731
CA-37,2012,2012,0.8698770491803278
CA-37,2008,2012,0.865979381443299
CA-38,2012,2012,0.6629213483146068
CA-38,2008,2012,0.6354166666666666
CA-39,2012,2012,0.48110316649642493
CA-39,2008,2012,0.4895833333333333
CA-40,2012,2012,0.8316326530612245
CA-40,2008,2012,0.8020833333333334
CA-41,2012,2012,0.6288343558282209
CA-41,2008,2012,0.6082474226804123
CA-42,2012,2012,0.4228804902962206
CA-42,2008,2012,0.44329896907216493
CA-43,2012,2012,0.7959183673469388
CA-43,2008,2012,0.7731958762886598
CA-44,2012,2012,0.8616480162767041
CA-44,2008,2012,0.8350515463917526
CA-45,2012,2012,0.4396728016359918
CA-45,2008,2012,0.4742268041237113
CA-46,2012,2012,0.6290983606557378
CA-46,2008,2012,0.5979381443298969
CA-47,2012,2012,0.6153846153846154
CA-47,2008,2012,0.5979381443298969
CA-48,2012,2012,0.44012282497441146
CA-48,2008,2012,0.4742268041237113
CA-49,2012,2012,0.4658511722731907
CA-49,2008,2012,0.5051546391752577
CA-50,2012,2012,0.3836734693877551
CA-50,2008,2012,0.4020618556701031
CA-51,2012,2012,0.7060020345879959
CA-51,2008,2012,0.6701030927835051
CA-52,2012,2012,0.532719836400818
CA-52,2008,2012,0.5612244897959183
CA-53,2012,2012,0.6278118609406953
CA-53,2008,2012,0.6288659793814433
CO-01,2012,2012,0.7055214723926381
CO-01,2008,2012,0.7197969543147209
CO-02,2012,2012,0.5944558521560575
CO-02,2008,2012,0.6219512195121951
CO-03,2012,2012,0.4692622950819672
CO-03,2008,2012,0.4923702950152594
CO-04,2012,2012,0.40122824974411464
CO-04,2008,2012,0.4262461851475076
CO-05,2012,2012,0.393223819301848
CO-05,2008,2012,0.4030456852791878
CO-06,2012,2012,0.5259938837920489
CO-06,2008,2012,0.5441624365482234
CO-07,2012,2012,0.5759753593429158
CO-07,2008,2012,0.5851172273190622
CT-01,2012,2012,0.640040444893832
CT-01,2008,2012,0.6666666666666667
CT-02,2012,2012,0.5675126903553299
CT-02,2008,2012,0.5943204868154158
CT-03,2012,2012,0.6329625884732052
CT-03,2008,2012,0.6336032388663967
CT-04,2012,2012,0.5560040363269425
CT-04,2008,2012,0.6002014098690835
CT-05,2012,2012,0.541497975708502
CT-05,2008,2012,0.5708502024291497
DE-AL,2012,2012,0.5943204868154158
DE-AL,2008,2012,0.6265182186234818
FL-01,2012,2012,0.30535894843276035
FL-01,2008,2012,0.3239152371342079
FL-02,2012,2012,0.47064777327935226
FL-02,2008,2012,0.4752774974772957
FL-03,2012,2012,0.37815975733063695
FL-03,2008,2012,0.40040444893832156
FL-04,2012,2012,0.3572149344096872
FL-04,2008,2012,0.3685800604229607
FL-05,2012,2012,0.7170191339375629
FL-05,2008,2012,0.710261569416499
FL-06,2012,2012,0.41775983854692234
FL-06,2008,2012,0.4596774193548387
FL-07,2012,2012,0.4762386248736097
FL-07,2008,2012,0.4959677419354839
FL-08,2012,2012,0.4262626262626263
FL-08,2008,2012,0.44399596367305755
FL-09,2012,2012,0.6246215943491423
FL-09,2008,2012,0.6066398390342052
FL-10,2012,2012,0.46115035317860753
FL-10,2008,2012,0.47580645161290325
FL-11,2012,2012,0.40606060606060607
FL-11,2008,2012,0.4353535353535354
FL-12,2012,2012,0.4534412955465587
FL-12,2008,2012,0.4727272727272727
FL-13,2012,2012,0.5075987841945289
FL-13,2008,2012,0.5192307692307692
FL-14,2012,2012,0.656912209889001
FL-14,2008,2012,0.657258064516129
FL-15,2012,2012,0.46107178968655205
FL-15,2008,2012,0.4647177419354839
FL-16,2012,2012,0.4530776992936428
FL-16,2008,2012,0.48637739656912216
FL-17,2012,2012,0.41574167507568116
FL-17,2008,2012,0.4359233097880929
FL-18,2012,2012,0.4793554884189325
FL-18,2008,2012,0.5156092648539778
FL-19,2012,2012,0.39034205231388325
FL-19,2008,2012,0.4269889224572004
FL-20,2012,2012,0.8293172690763052
FL-20,2008,2012,0.8082329317269077
FL-21,2012,2012,0.6090452261306533
FL-21,2008,2012,0.6391959798994975
FL-22,2012,2012,0.5478348439073515
FL-22,2008,2012,0.5714285714285714
FL-23,2012,2012,0.6187122736418511
FL-23,2008,2012,0.6221105527638191
FL-24,2012,2012,0.8785140562248996
FL-24,2008,2012,0.8645937813440321
FL-25,2012,2012,0.4894472361809046
FL-25,2008,2012,0.45783132530120485
FL-26,2012,2012,0.5336683417085427
FL-26,2008,2012,0.497991967871486
FL-27,2012,2012,0.5336683417085427
FL-27,2008,2012,0.4879518072289157
GA-01,2012,2012,0.43478260869565216
GA-01,2008,2012,0.44668008048289737
GA-02,2012,2012,0.5895372233400402
GA-02,2008,2012,0.5819095477386934
GA-03,2012,2012,0.33367037411526795
GA-03,2008,2012,0.3423967774420947
GA-04,2012,2012,0.7419354838709677
GA-04,2008,2012,0.735678391959799
GA-05,2012,2012,0.840242669362993
GA-05,2008,2012,0.8490945674044266
GA-06,2012,2012,0.38148524923702953
GA-06,2008,2012,0.40464177598385476
GA-07,2012,2012,0.38883248730964465
GA-07,2008,2012,0.3941532258064516
GA-08,2012,2012,0.3784056508577195
GA-08,2008,2012,0.380281690140845
GA-09,2012,2012,0.2079107505070994
GA-09,2008,2012,0.24545454545454545
GA-10,2012,2012,0.3674089068825911
GA-10,2008,2012,0.39112903225806456
GA-11,2012,2012,0.3201219512195122
GA-11,2008,2012,0.35050505050505054
GA-12,2012,2012,0.4404040404040404
GA-12,2008,2012,0.44120603015075377
GA-13,2012,2012,0.6975806451612904
GA-13,2008,2012,0.6750503018108652
GA-14,2012,2012,0.2568527918781726
GA-14,2008,2012,0.2813765182186235
HI-01,2012,2012,0.7061803444782169
HI-01,2008,2012,0.7129817444219068
HI-02,2012,2012,0.72782874617737
HI-02,2008,2012,0.7466937945066123
IA-01,2012,2012,0.5694022289766971
IA-01,2008,2012,0.5915065722952477
IA-02,2012,2012,0.566497461928934
IA-02,2008,2012,0.5785207700101317
IA-03,2012,2012,0.5212981744421907
IA-03,2008,2012,0.5309017223910841
IA-04,2012,2012,0.4589665653495441
IA-04,2008,2012,0.49138804457953394
ID-01,2012,2012,0.33161688980432547
ID-01,2008,2012,0.35963114754098363
ID-02,2012,2012,0.34053497942386834
ID-02,2008,2012,0.3801229508196722
IL-01,2012,2012,0.7963709677419355
IL-01,2008,2012,0.8136958710976838
IL-02,2012,2012,0.813508064516129
IL-02,2008,2012,0.8167170191339376
IL-03,2012,2012,0.5675126903553299
IL-03,2008,2012,0.590678824721378
IL-04,2012,2012,0.8255102040816327
IL-04,2008,2012,0.8156028368794326
IL-05,2012,2012,0.6748466257668712
IL-05,2008,2012,0.7082066869300913
IL-06,2012,2012,0.4583333333333333
IL-06,2008,2012,0.5202839756592292
IL-07,2012,2012,0.8808080808080808
IL-07,2008,2012,0.9003021148036253
IL-08,2012,2012,0.5839267548321465
IL-08,2008,2012,0.6237322515212982
IL-09,2012,2012,0.6612410986775178
IL-09,2008,2012,0.6936299292214358
IL-10,2012,2012,0.5831643002028398
IL-10,2008,2012,0.6370070778564206
IL-11,2012,2012,0.5873983739837397
IL-11,2008,2012,0.6204453441295547
IL-12,2012,2012,0.5076608784473953
IL-12,2008,2012,0.5564598168870803
IL-13,2012,2012,0.49846153846153846
IL-13,2008,2012,0.5560081466395111
IL-14,2012,2012,0.44918699186991873
IL-14,2008,2012,0.513677811550152
IL-15,2012,2012,0.3479591836734694
IL-15,2008,2012,0.4358452138492872
IL-16,2012,2012,0.4607543323139654
IL-16,2008,2012,0.5091649694501018
IL-17,2012,2012,0.5865580448065173
IL-17,2008,2012,0.6091370558375635
IL-18,2012,2012,0.381243628950051
IL-18,2008,2012,0.44771573604060916
IN-01,2012,2012,0.6206896551724138
IN-01,2008,2012,0.6387487386478304
IN-02,2012,2012,0.4287169042769857
IN-02,2008,2012,0.5015166835187057
IN-03,2012,2012,0.3635437881873727
IN-03,2008,2012,0.43434343434343436
IN-04,2012,2012,0.3773006134969325
IN-04,2008,2012,0.451417004048583
IN-05,2012,2012,0.4144602851323829
IN-05,2008,2012,0.46975806451612906
IN-06,2012,2012,0.38178096212896623
IN-06,2008,2012,0.4421906693711968
IN-07,2012,2012,0.6398779247202442
IN-07,2008,2012,0.66902119071644806
IN-08,2012,2012,0.40408163265306124
IN-08,2008,2012,0.48733535967578523
IN-09,2012,2012,0.4157303370786517
IN-09,2008,2012,0.4671385237613751
KS-01,2012,2012,0.2824974411463665
KS-01,2008,2012,0.31568228105906315
KS-02,2012,2012,0.43032786885245905
KS-02,2008,2012,0.4617737003058104
KS-03,2012,2012,0.45158002038735984
KS-03,2008,2012,0.4944275582573455
KS-04,2012,2012,0.3694984646878199
KS-04,2008,2012,0.4026503567787972
KY-01,2012,2012,0.32588832487309644
KY-01,2008,2012,0.3746192893401015
KY-02,2012,2012,0.3567073170731707
KY-02,2008,2012,0.3768996960486322
KY-03,2012,2012,0.5654822335025381
KY-03,2008,2012,0.5676767676767677
KY-04,2012,2012,0.3543788187372709
KY-04,2008,2012,0.3756345177664975
KY-05,2012,2012,0.23625254582484723
KY-05,2008,2012,0.3217922606924644
KY-06,2012,2012,0.43061224489795924
KY-06,2008,2012,0.45482233502538066
LA-01,2012,2012,0.2750511247443762
LA-01,2008,2012,0.25816326530612244
LA-02,2012,2012,0.768762677484787
LA-02,2008,2012,0.742914979757085
LA-03,2012,2012,0.3282520325203252
LA-03,2008,2012,0.34689725330620547
LA-04,2012,2012,0.4022289766970618
LA-04,2008,2012,0.40384615384615385
LA-05,2012,2012,0.3819655521783182
LA-05,2008,2012,0.3718338399189463
LA-06,2012,2012,0.32619775739041795
LA-06,2008,2012,0.3140243902439024
MA-01,2012,2012,0.6510681586978637
MA-01,2008,2012,0.6554192229038854
MA-02,2012,2012,0.599591419816139
MA-02,2008,2012,0.6169560776302349
MA-03,2012,2012,0.5788402848423194
MA-03,2008,2012,0.5987780040733198
MA-04,2012,2012,0.5802845528455285
MA-04,2008,2012,0.6144455747711088
MA-05,2012,2012,0.6632756866734486
MA-05,2008,2012,0.6734486266531027
MA-06,2012,2012,0.554766734279919
MA-06,2008,2012,0.5788402848423194
MA-07,2012,2012,0.8409785932721713
MA-07,2008,2012,0.8306288032454361
MA-08,2012,2012,0.5862068965517241
MA-08,2008,2012,0.5884146341463414
MA-09,2012,2012,0.5628803245436106
MA-09,2008,2012,0.5873983739837397
MD-01,2012,2012,0.38430173292558617
MD-01,2008,2012,0.39183673469387753
MD-02,2012,2012,0.6432212028542305
MD-02,2008,2012,0.617737003058104
MD-03,2012,2012,0.6206543967280164
MD-03,2008,2012,0.6126401630988787
MD-04,2012,2012,0.7896865520728008
MD-04,2008,2012,0.7800201816347124
MD-05,2012,2012,0.6710659898477157
MD-05,2008,2012,0.6595744680851064
MD-06,2012,2012,0.563265306122449
MD-06,2008,2012,0.572736520854527
MD-07,2012,2012,0.7736040609137056
MD-07,2008,2012,0.772819472616633
MD-08,2012,2012,0.6326530612244898
MD-08,2008,2012,0.6382113821138211
ME-01,2012,2012,0.6094069529652352
ME-01,2008,2012,0.6181262729124236
ME-02,2012,2012,0.5436793422404933
ME-02,2008,2012,0.5571428571428572
MI-01,2012,2012,0.45803842264914046
MI-01,2008,2012,0.5066258919469929
MI-02,2012,2012,0.43491422805247226
MI-02,2008,2012,0.4883011190233978
MI-03,2012,2012,0.4630940343781597
MI-03,2008,2012,0.5055951169888098
MI-04,2012,2012,0.4595959595959596
MI-04,2008,2012,0.505091649694501
MI-05,2012,2012,0.6131313131313132
MI-05,2008,2012,0.6408952187182095
MI-06,2012,2012,0.4929292929292929
MI-06,2008,2012,0.5401831129196337
MI-07,2012,2012,0.4843276036400404
MI-07,2008,2012,0.5173116089613035
MI-08,2012,2012,0.484359233097881
MI-08,2008,2012,0.5284552845528455
MI-09,2012,2012,0.5771947527749748
MI-09,2008,2012,0.5916496945010183
MI-10,2012,2012,0.4414141414141414
MI-10,2008,2012,0.4897959183673469
MI-11,2012,2012,0.4727822580645162
MI-11,2008,2012,0.5096446700507614
MI-12,2012,2012,0.6686868686868687
MI-12,2008,2012,0.6805696846388606
MI-13,2012,2012,0.8562814070351759
MI-13,2008,2012,0.8565656565656565
MI-14,2012,2012,0.8132530120481928
MI-14,2008,2012,0.8277945619335346
MN-01,2012,2012,0.5071574642126789
MN-01,2008,2012,0.521025641025641
MN-02,2012,2012,0.5005096839959225
MN-02,2008,2012,0.5147808358817534
MN-03,2012,2012,0.5040650406504065
MN-03,2008,2012,0.5182926829268293
MN-04,2012,2012,0.6377551020408163
MN-04,2008,2012,0.6381243628950052
MN-05,2012,2012,0.7538461538461538
MN-05,2008,2012,0.7497446373850868
MN-06,2012,2012,0.42346938775510207
MN-06,2008,2012,0.44126659856996936
MN-07,2012,2012,0.45
MN-07,2008,2012,0.48307692307692307
MN-08,2012,2012,0.5280898876404494
MN-08,2008,2012,0.5440573770491803
MO-01,2012,2012,0.8087044534412955
MO-01,2008,2012,0.8119312436804853
MO-02,2012,2012,0.42030456852791875
MO-02,2008,2012,0.46868686868686865
MO-03,2012,2012,0.36799184505606525
MO-03,2008,2012,0.4340770791075051
MO-04,2012,2012,0.3729508196721312
MO-04,2008,2012,0.42581300813008127
MO-05,2012,2012,0.5991861648016277
MO-05,2008,2012,0.6275303643724697
MO-06,2012,2012,0.3871297242083759
MO-06,2008,2012,0.4380081300813008
MO-07,2012,2012,0.3094994892747702
MO-07,2008,2012,0.35873983739837395
MO-08,2012,2012,0.3268641470888662
MO-08,2008,2012,0.3896236012207528
MS-01,2012,2012,0.3741152679474216
MS-01,2008,2012,0.3696969696969697
MS-02,2012,2012,0.6680080482897385
MS-02,2008,2012,0.6458752515090543
MS-03,2012,2012,0.3945509586276489
MS-03,2008,2012,0.38709677419354843
MS-04,2012,2012,0.3157894736842105
MS-04,2008,2012,0.31414141414141417
MT-AL,2012,2012,0.42945417095777555
MT-AL,2008,2012,0.48863636363636365
NC-01,2012,2012,0.7195979899497487
NC-01,2008,2012,0.71
NC-02,2012,2012,0.42121212121212126
NC-02,2008,2012,0.43434343434343436
NC-03,2012,2012,0.41414141414141414
NC-03,2008,2012,0.43434343434343436
NC-04,2012,2012,0.7226720647773279
NC-04,2008,2012,0.7272727272727273
NC-05,2012,2012,0.40242669362992917
NC-05,2008,2012,0.42424242424242425
NC-06,2012,2012,0.41717171717171714
NC-06,2008,2012,0.43434343434343436
NC-07,2012,2012,0.4026236125126135
NC-07,2008,2012,0.42
NC-08,2012,2012,0.41372351160444
NC-08,2008,2012,0.42424242424242425
NC-09,2012,2012,0.4323232323232323
NC-09,2008,2012,0.45454545454545453
NC-10,2012,2012,0.41354903943377147
NC-10,2008,2012,0.42424242424242425
NC-11,2012,2012,0.3829787234042553
NC-11,2008,2012,0.40816326530612246
NC-12,2012,2012,0.7905337361530715
NC-12,2008,2012,0.7878787878787878
NC-13,2012,2012,0.43983822042467136
NC-13,2008,2012,0.45454545454545453
ND-AL,2012,2012,0.3985655737704918
ND-AL,2008,2012,0.4555669050051072
NE-01,2012,2012,0.41547861507128314
NE-01,2008,2012,0.4487309644670051
NE-02,2012,2012,0.46348884381338745
NE-02,2008,2012,0.5060728744939271
NE-03,2012,2012,0.2836734693877551
NE-03,2008,2012,0.31670061099796337
NH-01,2012,2012,0.5080971659919028
NH-01,2008,2012,0.5322580645161291
NH-02,2012,2012,0.5491388044579534
NH-02,2008,2012,0.5650857719475277
NJ-01,2012,2012,0.6582406471183013
NJ-01,2008,2012,0.6541961577350859
NJ-02,2012,2012,0.5409504550050556
NJ-02,2008,2012,0.5390070921985816
NJ-03,2012,2012,0.5232323232323232
NJ-03,2008,2012,0.5172064777327935
NJ-04,2012,2012,0.4519716885743175
NJ-04,2008,2012,0.45803842264914046
NJ-05,2012,2012,0.4843276036400404
NJ-05,2008,2012,0.4898989898989899
NJ-06,2012,2012,0.6214574898785425
NJ-06,2008,2012,0.5904954499494438
NJ-07,2012,2012,0.4686234817813765
NJ-07,2008,2012,0.47773279352226716
NJ-08,2012,2012,0.7909090909090909
NJ-08,2008,2012,0.7379032258064516
NJ-09,2012,2012,0.6892028254288598
NJ-09,2008,2012,0.6451612903225806
NJ-10,2012,2012,0.8843058350100603
NJ-10,2008,2012,0.8532663316582915
NJ-11,2012,2012,0.47070707070707074
NJ-11,2008,2012,0.4742684157416751
NJ-12,2012,2012,0.672396359959555
NJ-12,2008,2012,0.6636363636363637
NM-01,2012,2012,0.5827186512118019
NM-01,2008,2012,0.6048632218844985
NM-02,2012,2012,0.4648033126293996
NM-02,2008,2012,0.4908722109533469
NM-03,2012,2012,0.5977130977130977
NM-03,2008,2012,0.6200607902735562
NV-01,2012,2012,0.6693877551020407
NV-01,2008,2012,0.6615384615384615
NV-02,2012,2012,0.45854657113613106
NV-02,2008,2012,0.5061475409836066
NV-03,2012,2012,0.5040733197556008
NV-03,2008,2012,0.545361875637105
NV-04,2012,2012,0.5545361875637105
NV-04,2008,2012,0.5766871165644172
NY-01,2012,2012,0.502532928064843
NY-01,2008,2012,0.5151515151515151
NY-02,2012,2012,0.5222672064777327
NY-02,2008,2012,0.5151515151515151
NY-03,2012,2012,0.5131313131313131
NY-03,2008,2012,0.54
NY-04,2012,2012,0.5681130171543896
NY-04,2008,2012,0.5555555555555556
NY-05,2012,2012,0.9087261785356069
NY-05,2008,2012,0.86
NY-06,2012,2012,0.6862348178137652
NY-06,2008,2012,0.6363636363636364
NY-07,2012,2012,0.8956433637284702
NY-07,2008,2012,0.8484848484848485
NY-08,2012,2012,0.89738430583501
NY-08,2008,2012,0.86
NY-09,2012,2012,0.8597376387487387
NY-09,2008,2012,0.8484848484848485
NY-10,2012,2012,0.745694022289767
NY-10,2008,2012,0.7676767676767676
NY-11,2012,2012,0.5217391304347826
NY-11,2008,2012,0.48484848484848486
NY-12,2012,2012,0.7815040650406504
NY-12,2008,2012,0.8080808080808081
NY-13,2012,2012,0.9536290322580646
NY-13,2008,2012,0.9393939393939394
NY-14,2012,2012,0.8151515151515152
NY-14,2008,2012,0.7676767676767676
NY-15,2012,2012,0.9699097291875627
NY-15,2008,2012,0.95
NY-16,2012,2012,0.7429435483870968
NY-16,2008,2012,0.7373737373737373
NY-17,2012,2012,0.5767676767676768
NY-17,2008,2012,0.5858585858585859
NY-18,2012,2012,0.5218274111675126
NY-18,2008,2012,0.5252525252525253
NY-19,2012,2012,0.5316326530612245
NY-19,2008,2012,0.5408163265306123
NY-20,2012,2012,0.6040816326530613
NY-20,2008,2012,0.5918367346938775
NY-21,2012,2012,0.531027466937945
NY-21,2008,2012,0.5252525252525253
NY-22,2012,2012,0.49795918367346936
NY-22,2008,2012,0.5
NY-23,2012,2012,0.49387755102040815
NY-23,2008,2012,0.5050505050505051
NY-24,2012,2012,0.581039755351682
NY-24,2008,2012,0.5714285714285714
NY-25,2012,2012,0.5987780040733198
NY-25,2008,2012,0.5959595959595959
NY-26,2012,2012,0.6507128309572302
NY-26,2008,2012,0.6428571428571429
NY-27,2012,2012,0.4368635437881874
NY-27,2008,2012,0.4489795918367347
OH-01,2012,2012,0.4690982776089159
OH-01,2008,2012,0.4767676767676768
OH-02,2012,2012,0.44410569105691056
OH-02,2008,2012,0.449746192893401
OH-03,2012,2012,0.706896551724138
OH-03,2008,2012,0.6828774062816616
OH-04,2012,2012,0.42857142857142855
OH-04,2008,2012,0.4454638124362896
OH-05,2012,2012,0.45
OH-05,2008,2012,0.4684317718940937
OH-06,2012,2012,0.43615934627170583
OH-06,2008,2012,0.45705521472392635
OH-07,2012,2012,0.4514811031664964
OH-07,2008,2012,0.47955010224948874
OH-08,2012,2012,0.37029501525940994
OH-08,2008,2012,0.3871951219512195
OH-09,2012,2012,0.6862944162436547
OH-09,2008,2012,0.6788617886178862
OH-10,2012,2012,0.49033570701932855
OH-10,2008,2012,0.5
OH-11,2012,2012,0.8338368580060422
OH-11,2008,2012,0.8266129032258064
OH-12,2012,2012,0.44659206510681587
OH-12,2008,2012,0.45482233502538066
OH-13,2012,2012,0.6398779247202442
OH-13,2008,2012,0.6350662589194699
OH-14,2012,2012,0.483248730964467
OH-14,2008,2012,0.4984771573604061
OH-15,2012,2012,0.47148676171079434
OH-15,2008,2012,0.4689725330620549
OH-16,2012,2012,0.4584178498985802
OH-16,2008,2012,0.47918781725888326
OK-01,2012,2012,0.342
OK-01,2008,2012,0.358
OK-02,2012,2012,0.322
OK-02,2008,2012,0.34299999999999997
OK-03,2012,2012,0.261
OK-03,2008,2012,0.271
OK-04,2012,2012,0.32899999999999996
OK-04,2008,2012,0.33899999999999997
OK-05,2012,2012,0.408
OK-05,2008,2012,0.408
OR-01,2012,2012,0.5889003083247687
OR-01,2008,2012,0.6125385405960945
OR-02,2012,2012,0.41623843782117165
OR-02,2008,2012,0.44593202883625127
OR-03,2012,2012,0.7445708376421923
OR-03,2008,2012,0.75
OR-04,2012,2012,0.5346432264736298
OR-04,2008,2012,0.5593395252837977
OR-05,2012,2012,0.5174180327868853
OR-05,2008,2012,0.5452674897119342
PA-01,2012,2012,0.8296370967741936
PA-01,2008,2012,0.7925478348439073
PA-02,2012,2012,0.9094567404426559
PA-02,2008,2012,0.9118236472945892
PA-03,2012,2012,0.436105476673428
PA-03,2008,2012,0.4695740365111562
PA-04,2012,2012,0.4208924949290061
PA-04,2008,2012,0.45601617795753285
PA-05,2012,2012,0.4208924949290061
PA-05,2008,2012,0.47768762677484794
PA-06,2012,2012,0.48733535967578523
PA-06,2008,2012,0.5353535353535354
PA-07,2012,2012,0.49039433771486346
PA-07,2008,2012,0.5171717171717172
PA-08,2012,2012,0.49949341438703143
PA-08,2008,2012,0.537917087967644
PA-09,2012,2012,0.3637284701114489
PA-09,2008,2012,0.4139676113360324
PA-10,2012,2012,0.3898477157360406
PA-10,2008,2012,0.4281376518218623
PA-11,2012,2012,0.45223577235772355
PA-11,2008,2012,0.4767206477732793
PA-12,2012,2012,0.414387031408308
PA-12,2008,2012,0.4524291497975708
PA-13,2012,2012,0.6680121089808275
PA-13,2008,2012,0.6599394550958627
PA-14,2012,2012,0.6896551724137931
PA-14,2008,2012,0.6767676767676768
PA-15,2012,2012,0.4853090172239109
PA-15,2008,2012,0.5278622087132725
PA-16,2012,2012,0.4690982776089159
PA-16,2008,2012,0.5055499495459133
PA-17,2012,2012,0.5612968591691997
PA-17,2008,2012,0.5759109311740891
PA-18,2012,2012,0.41456016177957533
PA-18,2008,2012,0.4424242424242424
RI-01,2012,2012,0.6727642276422764
RI-01,2008,2012,0.676829268292683
RI-02,2012,2012,0.6095820591233435
RI-02,2008,2012,0.6099796334012221
SC-01,2012,2012,0.40812182741116754
SC-01,2008,2012,0.43218623481781376
SC-02,2012,2012,0.39999999999999997
SC-02,2008,2012,0.39838220424671383
SC-03,2012,2012,0.3445121951219512
SC-03,2008,2012,0.35598377281947263
SC-04,2012,2012,0.36788617886178865
SC-04,2008,2012,0.3835198372329603
SC-05,2012,2012,0.44174265450861194
SC-05,2008,2012,0.4433198380566801
SC-06,2012,2012,0.7161616161616162
SC-06,2008,2012,0.708080808080808
SC-07,2012,2012,0.44893832153690594
SC-07,2008,2012,0.45803842264914046
SD-AL,2012,2012,0.40797546012269936
SD-AL,2008,2012,0.45658835546475995
